City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
193,Alakurtti,66.9672,30.3491,18.88,97,100,3.04,RU,light snow
194,Antofagasta,-23.65,-70.4,65.91,74,0,3.36,CL,clear sky
195,Luanda,-8.8368,13.2343,73.4,78,20,5.75,AO,few clouds
196,Saint-Joseph,-21.3667,55.6167,78.1,76,29,4.68,RE,scattered clouds
197,Aksarka,66.5606,67.7975,4.6,93,95,16.24,RU,overcast clouds
198,Mezen,65.8522,44.24,23.13,93,100,10.85,RU,overcast clouds
199,Zaysan,47.4667,84.8667,8.55,92,100,2.26,KZ,overcast clouds
200,Port Said,31.2565,32.2841,58.46,57,68,16.82,EG,broken clouds
201,Bedford,52.1346,-0.4663,37.22,84,6,6.2,GB,clear sky
202,Ust-Kuyga,70.0167,135.6,-14.35,96,100,7.47,RU,overcast clouds
203,Salinopolis,-0.6136,-47.3561,77.47,88,100,7.45,BR,overcast clouds
204,La Peca,-5.6111,-78.435,66.96,86,85,2.46,PE,overcast clouds
205,Paungde,18.4833,95.5,85.42,16,86,7.4,MM,overcast clouds
206,Baruun-Urt,46.6806,113.2792,3.78,85,100,2.75,MN,overcast clouds
207,Cradock,-32.1642,25.6192,62.44,84,0,2.68,ZA,clear sky
208,Menongue,-14.6585,17.691,61.05,95,100,2.19,AO,overcast clouds
209,Dukat,62.55,155.55,-15.81,81,78,2.82,RU,broken clouds
210,Yumen,40.2833,97.2,28.36,40,69,21.92,CN,broken clouds
211,Keffi,8.8486,7.8736,70.72,11,16,4.45,NG,few clouds
212,Tocopilla,-22.092,-70.1979,68.22,62,2,1.7,CL,clear sky
213,Lompoc,34.6391,-120.4579,65.57,44,0,4.5,US,clear sky
214,Severnyy,50.677,36.5532,32.04,100,100,8.95,RU,mist
215,Nome,64.5011,-165.4064,-14.73,76,0,5.75,US,clear sky
216,Geraldton,-28.7667,114.6,91.81,38,5,17.27,AU,clear sky
217,Papara,-3.9839,-38.7273,80.69,87,81,0.85,BR,broken clouds
218,Eyl,7.9803,49.8164,70.79,65,21,12.91,SO,few clouds
219,Blagoyevo,63.3667,47.9167,20.21,93,100,9.28,RU,overcast clouds
220,Tutoia,-2.7619,-42.2744,76.62,87,97,6.89,BR,overcast clouds
221,Troutdale,45.5393,-122.3873,49.66,93,17,1.99,US,few clouds
