City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Jesus Carranza,MX,2022-02-10 02:11:35,17.4333,-95.0333,63.41,92,100,2.68
261,Olafsvik,IS,2022-02-10 02:11:35,64.8945,-23.7142,26.6,58,46,9.51
262,Waren,DE,2022-02-10 02:11:35,53.5167,12.6833,40.69,96,100,5.53
263,Udachnyy,RU,2022-02-10 02:11:36,66.4167,112.4,-2.56,83,99,3.04
264,Chapais,CA,2022-02-10 02:11:36,49.7834,-74.8492,24.58,96,100,10.56
265,Santa Rosa,PH,2022-02-10 02:11:36,14.3122,121.1114,85.08,66,60,13.51
266,Puerto Narino,CO,2022-02-10 02:11:37,-3.7703,-70.3831,75.15,99,84,0.96
267,Camopi,GF,2022-02-10 02:11:37,3.1655,-52.3158,71.22,99,100,2.17
268,Caraballeda,VE,2022-02-10 02:11:37,10.6112,-66.8522,77.07,83,20,0.0
269,Suntar,RU,2022-02-10 02:11:38,62.1444,117.6319,-17.36,96,100,1.99
270,Esperance,AU,2022-02-10 02:11:38,-33.8667,121.9,75.06,54,4,9.28
271,Tucumcari,US,2022-02-10 02:07:17,35.1717,-103.725,44.44,31,0,8.05
272,Vera Cruz,BR,2022-02-10 02:11:38,-12.6333,-41.0333,72.64,79,91,2.86
273,Kangaba,ML,2022-02-10 02:11:39,11.9333,-8.4167,73.78,15,2,6.44
274,Lyuban,BY,2022-02-10 02:11:39,52.7985,28.0048,38.37,98,100,16.67
275,Tiksi,RU,2022-02-10 02:12:40,71.6872,128.8694,-12.91,93,100,12.59
276,Joao Pinheiro,BR,2022-02-10 02:12:40,-17.7425,-46.1725,67.48,97,100,3.22
277,Kewanee,US,2022-02-10 02:12:40,41.2456,-89.9248,36.36,92,98,13.06
278,Mollendo,PE,2022-02-10 02:12:41,-17.0231,-72.0147,68.85,80,8,4.74
279,Vestmannaeyjar,IS,2022-02-10 02:12:41,63.4427,-20.2734,25.41,71,95,17.47
280,Porto Walter,BR,2022-02-10 02:12:41,-8.2686,-72.7439,71.69,99,100,2.3
281,Rantepao,ID,2022-02-10 02:12:42,-2.9701,119.8978,70.66,95,100,1.59
282,Sembe,CG,2022-02-10 02:12:42,1.6481,14.5806,71.46,37,69,1.74
283,Zhaoyang,CN,2022-02-10 02:12:42,42.682,126.0305,22.33,77,13,2.24
284,Uvinza,TZ,2022-02-10 02:12:43,-5.1036,30.3911,66.06,94,100,2.15
285,Matara,LK,2022-02-10 02:12:43,5.9485,80.5353,76.86,78,88,3.06
286,Dunedin,NZ,2022-02-10 02:09:00,-45.8742,170.5036,68.81,82,57,5.99
287,Kotdwara,IN,2022-02-10 02:12:43,29.75,78.5333,42.75,80,0,5.68
288,Lorengau,PG,2022-02-10 02:12:44,-2.0226,147.2712,85.15,71,61,7.7
